Country Name,Country Code,Year,Region,IncomeGroup,EnrollmentRate,EducationLevel,Gender
Caribbean small states,CSS,2001,,,91.92655,Primary,Female
Djibouti,DJI,2006,Middle East & North Africa,Lower middle income,36.03817,Primary,Female
France,FRA,2014,Europe & Central Asia,High income,98.4824,Primary,Female
United Kingdom,GBR,1981,Europe & Central Asia,High income,97.85776,Primary,Female
Iraq,IRQ,1988,Middle East & North Africa,Upper middle income,86.30407,Primary,Female
Least developed countries: UN classification,LDC,2014,,,80.30556,Primary,Female
Sri Lanka,LKA,2008,South Asia,Lower middle income,94.98211,Primary,Female
Mongolia,MNG,1996,East Asia & Pacific,Lower middle income,85.23354,Primary,Female
Mauritius,MUS,1972,Sub-Saharan Africa,Upper middle income,78.16315,Primary,Female
Malaysia,MYS,2003,East Asia & Pacific,Upper middle income,97.08177,Primary,Female
Romania,ROU,1997,Europe & Central Asia,Upper middle income,89.75655,Primary,Female
Slovenia,SVN,1997,Europe & Central Asia,High income,95.14155,Primary,Female
Eswatini,SWZ,1990,Sub-Saharan Africa,Lower middle income,74.27921,Primary,Female
Eswatini,SWZ,1995,Sub-Saharan Africa,Lower middle income,80.63427,Primary,Female
Syrian Arab Republic,SYR,1980,Middle East & North Africa,Low income,74.63192,Primary,Female
Togo,TGO,2017,Sub-Saharan Africa,Low income,89.66983,Primary,Female
Arab World,ARB,2006,,,79.58348,Primary,Female
Benin,BEN,1993,Sub-Saharan Africa,Lower middle income,36.29644,Primary,Female
Algeria,DZA,1983,Middle East & North Africa,Lower middle income,70.15331,Primary,Female
Ethiopia,ETH,2015,Sub-Saharan Africa,Low income,82.03281,Primary,Female
Fiji,FJI,2013,East Asia & Pacific,Upper middle income,99.93016,Primary,Female
United Kingdom,GBR,2011,Europe & Central Asia,High income,98.18225,Primary,Female
"Gambia, The",GMB,2015,Sub-Saharan Africa,Low income,79.20485,Primary,Female
Honduras,HND,2014,Latin America & Caribbean,Lower middle income,80.37492,Primary,Female
Hungary,HUN,2003,Europe & Central Asia,High income,95.99894,Primary,Female
Iceland,ISL,2003,Europe & Central Asia,High income,97.3335,Primary,Female
Lao PDR,LAO,2012,East Asia & Pacific,Lower middle income,92.82731,Primary,Female
Low income,LIC,2012,,,77.36295,Primary,Female
Low income,LIC,2017,,,78.37906,Primary,Female
Luxembourg,LUX,2008,Europe & Central Asia,High income,98.17434,Primary,Female
Morocco,MAR,1994,Middle East & North Africa,Lower middle income,51.81853,Primary,Female
North Macedonia,MKD,2017,Europe & Central Asia,Upper middle income,95.75968,Primary,Female
Qatar,QAT,1994,Middle East & North Africa,High income,82.24454,Primary,Female
San Marino,SMR,2000,Europe & Central Asia,High income,87.17201,Primary,Female
Middle East & North Africa (IDA & IBRD countries),TMN,2013,,,93.04819,Primary,Female
Zambia,ZMB,1977,Sub-Saharan Africa,Lower middle income,75.45329,Primary,Female
Austria,AUT,2008,Europe & Central Asia,High income,88.10305,Primary,Female
Bahrain,BHR,2006,Middle East & North Africa,High income,94.96169,Primary,Female
Brazil,BRA,2004,Latin America & Caribbean,Upper middle income,93.51398,Primary,Female
Central Europe and the Baltics,CEB,2009,,,94.69698,Primary,Female
Denmark,DNK,1982,Europe & Central Asia,High income,96.40157,Primary,Female
Ireland,IRL,1993,Europe & Central Asia,High income,88.2076,Primary,Female
Kenya,KEN,2012,Sub-Saharan Africa,Lower middle income,83.01955,Primary,Female
Mauritania,MRT,2004,Sub-Saharan Africa,Lower middle income,74.77657,Primary,Female
Niger,NER,2004,Sub-Saharan Africa,Low income,33.72222,Primary,Female
Netherlands,NLD,1990,Europe & Central Asia,High income,97.77392,Primary,Female
Qatar,QAT,2015,Middle East & North Africa,High income,96.71293,Primary,Female
United States,USA,2005,North America,High income,99.73112,Primary,Female
"Venezuela, RB",VEN,2008,Latin America & Caribbean,,92.45777,Primary,Female
Australia,AUS,1989,East Asia & Pacific,High income,98.77965,Primary,Female
Europe & Central Asia,ECS,2000,,,94.59784,Primary,Female
Euro area,EMU,2000,,,98.04775,Primary,Female
"Gambia, The",GMB,1998,Sub-Saharan Africa,Low income,54.33503,Primary,Female
Heavily indebted poor countries (HIPC),HPC,2004,,,62.19764,Primary,Female
"Iran, Islamic Rep.",IRN,1992,Middle East & North Africa,Lower middle income,91.58669,Primary,Female
Kenya,KEN,2002,Sub-Saharan Africa,Lower middle income,60.41683,Primary,Female
Kyrgyz Republic,KGZ,1999,Europe & Central Asia,Lower middle income,93.30339,Primary,Female
"Korea, Rep.",KOR,2015,East Asia & Pacific,High income,98.58342,Primary,Female
Nicaragua,NIC,1989,Latin America & Caribbean,Lower middle income,66.4416,Primary,Female
Portugal,PRT,2015,Europe & Central Asia,High income,97.43018,Primary,Female
Romania,ROU,2006,Europe & Central Asia,Upper middle income,96.45499,Primary,Female
Senegal,SEN,1986,Sub-Saharan Africa,Lower middle income,37.53358,Primary,Female
Syrian Arab Republic,SYR,1982,Middle East & North Africa,Low income,77.6257,Primary,Female
Tonga,TON,1971,East Asia & Pacific,Upper middle income,87.40935,Primary,Female
Sub-Saharan Africa (IDA & IBRD countries),TSS,2008,,,72.22851,Primary,Female
Tunisia,TUN,1990,Middle East & North Africa,Lower middle income,88.86232,Primary,Female
United States,USA,2014,North America,High income,98.29023,Primary,Female
World,WLD,2015,,,89.5167,Primary,Female
Australia,AUS,1995,East Asia & Pacific,High income,95.27062,Primary,Female
Australia,AUS,2017,East Asia & Pacific,High income,96.87867,Primary,Female
Denmark,DNK,1986,Europe & Central Asia,High income,98.62751,Primary,Female
"Egypt, Arab Rep.",EGY,1978,Middle East & North Africa,Lower middle income,54.43943,Primary,Female
Iraq,IRQ,1976,Middle East & North Africa,Upper middle income,51.15588,Primary,Female
Jordan,JOR,2018,Middle East & North Africa,Upper middle income,80.26483,Primary,Female
Jordan,JOR,1973,Middle East & North Africa,Upper middle income,86.26344,Primary,Female
"Korea, Rep.",KOR,2016,East Asia & Pacific,High income,97.28315,Primary,Female
Kuwait,KWT,1996,Middle East & North Africa,High income,85.53804,Primary,Female
Lao PDR,LAO,1994,East Asia & Pacific,Lower middle income,61.56897,Primary,Female
Latin America & Caribbean,LCN,2011,,,96.39779,Primary,Female
Least developed countries: UN classification,LDC,2017,,,79.42774,Primary,Female
Lesotho,LSO,1984,Sub-Saharan Africa,Lower middle income,72.56995,Primary,Female
Lesotho,LSO,2007,Sub-Saharan Africa,Lower middle income,86.22376,Primary,Female
"Macao SAR, China",MAC,2008,East Asia & Pacific,High income,86.03832,Primary,Female
Malawi,MWI,2007,Sub-Saharan Africa,Low income,97.71025,Primary,Female
West Bank and Gaza,PSE,2005,Middle East & North Africa,Lower middle income,83.63202,Primary,Female
Solomon Islands,SLB,2007,East Asia & Pacific,Lower middle income,79.35042,Primary,Female
Suriname,SUR,2005,Latin America & Caribbean,Upper middle income,83.17978,Primary,Female
Eswatini,SWZ,2012,Sub-Saharan Africa,Lower middle income,86.6221,Primary,Female
South Africa,ZAF,1999,Sub-Saharan Africa,Upper middle income,92.92989,Primary,Female
Angola,AGO,2009,Sub-Saharan Africa,Lower middle income,75.33412,Primary,Female
Armenia,ARM,2011,Europe & Central Asia,Upper middle income,95.76167,Primary,Female
Burundi,BDI,1993,Sub-Saharan Africa,Low income,45.17336,Primary,Female
Belgium,BEL,2012,Europe & Central Asia,High income,98.1291,Primary,Female
Bahrain,BHR,1982,Middle East & North Africa,High income,76.92443,Primary,Female
Central Europe and the Baltics,CEB,2017,,,93.12443,Primary,Female
Chile,CHL,2011,Latin America & Caribbean,High income,94.77191,Primary,Female
Djibouti,DJI,2002,Middle East & North Africa,Lower middle income,27.31451,Primary,Female
Guinea-Bissau,GNB,1987,Sub-Saharan Africa,Low income,29.22799,Primary,Female
Honduras,HND,2005,Latin America & Caribbean,Lower middle income,87.42792,Primary,Female
Indonesia,IDN,1972,East Asia & Pacific,Lower middle income,66.09758,Primary,Female
Jordan,JOR,1972,Middle East & North Africa,Upper middle income,80.61804,Primary,Female
Lao PDR,LAO,2000,East Asia & Pacific,Lower middle income,72.28151,Primary,Female
Morocco,MAR,2002,Middle East & North Africa,Lower middle income,81.95041,Primary,Female
Namibia,NAM,2003,Sub-Saharan Africa,Upper middle income,95.81794,Primary,Female
Niger,NER,2000,Sub-Saharan Africa,Low income,21.67539,Primary,Female
West Bank and Gaza,PSE,2006,Middle East & North Africa,Lower middle income,84.47141,Primary,Female
Sierra Leone,SLE,2015,Sub-Saharan Africa,Low income,97.87612,Primary,Female
Slovak Republic,SVK,2002,Europe & Central Asia,High income,86.29631,Primary,Female
Syrian Arab Republic,SYR,1987,Middle East & North Africa,Low income,90.31361,Primary,Female
Tunisia,TUN,1997,Middle East & North Africa,Lower middle income,92.85678,Primary,Female
Burkina Faso,BFA,1985,Sub-Saharan Africa,Low income,16.02022,Primary,Female
Belize,BLZ,2003,Latin America & Caribbean,Lower middle income,94.63614,Primary,Female
Canada,CAN,1992,North America,High income,97.87987,Primary,Female
Cabo Verde,CPV,1987,Sub-Saharan Africa,Lower middle income,97.23594,Primary,Female
Dominica,DMA,2005,Latin America & Caribbean,Upper middle income,89.34475,Primary,Female
Honduras,HND,2009,Latin America & Caribbean,Lower middle income,87.2538,Primary,Female
IBRD only,IBD,2015,,,96.28176,Primary,Female
Cambodia,KHM,1999,East Asia & Pacific,Lower middle income,81.48489,Primary,Female
"Korea, Rep.",KOR,1971,East Asia & Pacific,High income,94.11856,Primary,Female
Lao PDR,LAO,1998,East Asia & Pacific,Lower middle income,70.40174,Primary,Female
Low & middle income,LMY,2009,,,88.32945,Primary,Female
Morocco,MAR,2009,Middle East & North Africa,Lower middle income,89.02239,Primary,Female
OECD members,OED,2001,,,96.28314,Primary,Female
Papua New Guinea,PNG,1989,East Asia & Pacific,Lower middle income,52.33169,Primary,Female
Eswatini,SWZ,1985,Sub-Saharan Africa,Lower middle income,73.35026,Primary,Female
Zimbabwe,ZWE,2000,Sub-Saharan Africa,Lower middle income,89.86404,Primary,Female
Arab World,ARB,2003,,,77.32907,Primary,Female
"Bahamas, The",BHS,2010,Latin America & Caribbean,High income,80.82471,Primary,Female
Bolivia,BOL,2016,Latin America & Caribbean,Lower middle income,89.64301,Primary,Female
Cabo Verde,CPV,2009,Sub-Saharan Africa,Lower middle income,94.6537,Primary,Female
Cabo Verde,CPV,2013,Sub-Saharan Africa,Lower middle income,92.48289,Primary,Female
Costa Rica,CRI,1978,Latin America & Caribbean,Upper middle income,91.38362,Primary,Female
Cyprus,CYP,1997,Europe & Central Asia,High income,96.37603,Primary,Female
Eritrea,ERI,1999,Sub-Saharan Africa,Low income,42.49334,Primary,Female
Ethiopia,ETH,2006,Sub-Saharan Africa,Low income,63.16266,Primary,Female
European Union,EUU,2006,,,97.57267,Primary,Female
"Gambia, The",GMB,2006,Sub-Saharan Africa,Low income,70.3983,Primary,Female
"Gambia, The",GMB,2012,Sub-Saharan Africa,Low income,72.62442,Primary,Female
Greece,GRC,1972,Europe & Central Asia,High income,92.47306,Primary,Female
Honduras,HND,2008,Latin America & Caribbean,Lower middle income,88.48396,Primary,Female
"Korea, Rep.",KOR,1976,East Asia & Pacific,High income,97.06411,Primary,Female
Latin America & Caribbean (excluding high income),LAC,2011,,,96.48192,Primary,Female
Latvia,LVA,2013,Europe & Central Asia,High income,97.32568,Primary,Female
Marshall Islands,MHL,2015,East Asia & Pacific,Upper middle income,74.83731,Primary,Female
Namibia,NAM,1989,Sub-Saharan Africa,Upper middle income,79.9079,Primary,Female
Pre-demographic dividend,PRE,2015,,,72.37402,Primary,Female
Pacific island small states,PSS,2015,,,86.38821,Primary,Female
Solomon Islands,SLB,2006,East Asia & Pacific,Lower middle income,79.58564,Primary,Female
Eswatini,SWZ,1982,Sub-Saharan Africa,Lower middle income,73.00019,Primary,Female
Europe & Central Asia (IDA & IBRD countries),TEC,2012,,,94.75922,Primary,Female
Zambia,ZMB,1982,Sub-Saharan Africa,Lower middle income,75.36027,Primary,Female
Zambia,ZMB,2001,Sub-Saharan Africa,Lower middle income,66.06223,Primary,Female
Arab World,ARB,2018,,,84.25278,Primary,Female
Australia,AUS,1976,East Asia & Pacific,High income,98.35892,Primary,Female
Bulgaria,BGR,2003,Europe & Central Asia,Upper middle income,96.18432,Primary,Female
Bulgaria,BGR,2015,Europe & Central Asia,Upper middle income,91.93717,Primary,Female
Botswana,BWA,2002,Sub-Saharan Africa,Upper middle income,89.21249,Primary,Female
Central Europe and the Baltics,CEB,2000,,,93.16031,Primary,Female
Dominican Republic,DOM,2002,Latin America & Caribbean,Upper middle income,90.64583,Primary,Female
Algeria,DZA,1980,Middle East & North Africa,Lower middle income,69.7613,Primary,Female
Europe & Central Asia,ECS,2015,,,96.89794,Primary,Female
"Gambia, The",GMB,1979,Sub-Saharan Africa,Low income,23.04455,Primary,Female
Guatemala,GTM,1978,Latin America & Caribbean,Upper middle income,48.62257,Primary,Female
Jamaica,JAM,1975,Latin America & Caribbean,Upper middle income,96.26805,Primary,Female
Jamaica,JAM,2002,Latin America & Caribbean,Upper middle income,92.59197,Primary,Female
Lao PDR,LAO,1999,East Asia & Pacific,Lower middle income,71.39967,Primary,Female
Mozambique,MOZ,2015,Sub-Saharan Africa,Low income,88.76509,Primary,Female
Oman,OMN,1998,Middle East & North Africa,High income,82.0127,Primary,Female
Post-demographic dividend,PST,2013,,,95.95576,Primary,Female
Tonga,TON,1993,East Asia & Pacific,Upper middle income,93.43096,Primary,Female
Azerbaijan,AZE,1995,Europe & Central Asia,Upper middle income,90.40977,Primary,Female
Azerbaijan,AZE,2003,Europe & Central Asia,Upper middle income,80.86988,Primary,Female
Burkina Faso,BFA,1983,Sub-Saharan Africa,Low income,13.65414,Primary,Female
"Congo, Rep.",COG,2005,Sub-Saharan Africa,Lower middle income,56.45804,Primary,Female
Cabo Verde,CPV,2008,Sub-Saharan Africa,Lower middle income,95.67871,Primary,Female
East Asia & Pacific (excluding high income),EAP,2018,,,95.55948,Primary,Female
Greece,GRC,1975,Europe & Central Asia,High income,96.08029,Primary,Female
Greece,GRC,2011,Europe & Central Asia,High income,96.08884,Primary,Female
Honduras,HND,2000,Latin America & Caribbean,Lower middle income,86.34144,Primary,Female
"Iran, Islamic Rep.",IRN,2006,Middle East & North Africa,Lower middle income,94.24863,Primary,Female
Jamaica,JAM,1987,Latin America & Caribbean,Upper middle income,97.49165,Primary,Female
Jordan,JOR,1999,Middle East & North Africa,Upper middle income,91.28002,Primary,Female
Lesotho,LSO,2004,Sub-Saharan Africa,Lower middle income,84.34345,Primary,Female
Namibia,NAM,2002,Sub-Saharan Africa,Upper middle income,95.58567,Primary,Female
Netherlands,NLD,1973,Europe & Central Asia,High income,92.58249,Primary,Female
Peru,PER,2011,Latin America & Caribbean,Upper middle income,99.6342,Primary,Female
Philippines,PHL,2006,East Asia & Pacific,Lower middle income,88.48251,Primary,Female
Pre-demographic dividend,PRE,2012,,,71.72031,Primary,Female
Russian Federation,RUS,2007,Europe & Central Asia,Upper middle income,94.21468,Primary,Female
Sao Tome and Principe,STP,1988,Sub-Saharan Africa,Lower middle income,89.34326,Primary,Female
Eswatini,SWZ,1984,Sub-Saharan Africa,Lower middle income,71.76853,Primary,Female
Latin America & the Caribbean (IDA & IBRD countries),TLA,2013,,,95.923,Primary,Female
Uruguay,URY,2014,Latin America & Caribbean,High income,96.89437,Primary,Female
Azerbaijan,AZE,1999,Europe & Central Asia,Upper middle income,92.18137,Primary,Female
Burundi,BDI,2004,Sub-Saharan Africa,Low income,51.51351,Primary,Female
Cabo Verde,CPV,2003,Sub-Saharan Africa,Lower middle income,96.07194,Primary,Female
Costa Rica,CRI,1975,Latin America & Caribbean,Upper middle income,90.56168,Primary,Female
European Union,EUU,2008,,,97.93124,Primary,Female
United Kingdom,GBR,1983,Europe & Central Asia,High income,95.27182,Primary,Female
"Gambia, The",GMB,2008,Sub-Saharan Africa,Low income,69.1071,Primary,Female
Guinea-Bissau,GNB,1985,Sub-Saharan Africa,Low income,34.02482,Primary,Female
Equatorial Guinea,GNQ,2001,Sub-Saharan Africa,Upper middle income,67.5788,Primary,Female
Lao PDR,LAO,2016,East Asia & Pacific,Lower middle income,92.92997,Primary,Female
Malta,MLT,1991,Middle East & North Africa,High income,95.87488,Primary,Female
Rwanda,RWA,1975,Sub-Saharan Africa,Low income,46.22906,Primary,Female
Small states,SST,2014,,,86.29308,Primary,Female
Trinidad and Tobago,TTO,1990,Latin America & Caribbean,High income,91.88367,Primary,Female
Zambia,ZMB,1980,Sub-Saharan Africa,Lower middle income,75.19486,Primary,Female
Bulgaria,BGR,1997,Europe & Central Asia,Upper middle income,94.18397,Primary,Female
China,CHN,1997,East Asia & Pacific,Upper middle income,88.3706,Primary,Female
Cameroon,CMR,2016,Sub-Saharan Africa,Lower middle income,90.25242,Primary,Female
Cuba,CUB,1993,Latin America & Caribbean,Upper middle income,95.03094,Primary,Female
"Egypt, Arab Rep.",EGY,2000,Middle East & North Africa,Lower middle income,86.30993,Primary,Female
European Union,EUU,2000,,,97.38638,Primary,Female
Guinea,GIN,2006,Sub-Saharan Africa,Low income,60.09855,Primary,Female
"Gambia, The",GMB,1992,Sub-Saharan Africa,Low income,39.86916,Primary,Female
Honduras,HND,2010,Latin America & Caribbean,Lower middle income,88.45882,Primary,Female
"Macao SAR, China",MAC,2016,East Asia & Pacific,High income,97.03167,Primary,Female
Pre-demographic dividend,PRE,2009,,,70.01266,Primary,Female
Pre-demographic dividend,PRE,2011,,,70.65847,Primary,Female
Serbia,SRB,2011,Europe & Central Asia,Upper middle income,97.51667,Primary,Female
Sub-Saharan Africa (excluding high income),SSA,2008,,,72.22735,Primary,Female
Tunisia,TUN,1985,Middle East & North Africa,Lower middle income,84.70119,Primary,Female
Tanzania,TZA,1983,Sub-Saharan Africa,Lower middle income,64.41072,Primary,Female
Bahrain,BHR,1985,Middle East & North Africa,High income,91.3604,Primary,Female
Barbados,BRB,1976,Latin America & Caribbean,High income,98.15505,Primary,Female
Cuba,CUB,2018,Latin America & Caribbean,Upper middle income,97.65977,Primary,Female
Cyprus,CYP,1984,Europe & Central Asia,High income,68.09883,Primary,Female
Dominica,DMA,2003,Latin America & Caribbean,Upper middle income,93.95031,Primary,Female
Algeria,DZA,1973,Middle East & North Africa,Lower middle income,55.79117,Primary,Female
Euro area,EMU,2015,,,98.39596,Primary,Female
Equatorial Guinea,GNQ,2012,Sub-Saharan Africa,Upper middle income,47.69385,Primary,Female
Greece,GRC,1983,Europe & Central Asia,High income,94.70051,Primary,Female
Iraq,IRQ,1981,Middle East & North Africa,Upper middle income,88.81897,Primary,Female
Latin America & Caribbean,LCN,2006,,,94.93495,Primary,Female
"Macao SAR, China",MAC,2015,East Asia & Pacific,High income,94.39776,Primary,Female
Morocco,MAR,2003,Middle East & North Africa,Lower middle income,83.68492,Primary,Female
Mozambique,MOZ,2004,Sub-Saharan Africa,Low income,66.03532,Primary,Female
Namibia,NAM,2000,Sub-Saharan Africa,Upper middle income,91.44128,Primary,Female
Pakistan,PAK,2015,South Asia,Lower middle income,56.42743,Primary,Female
Qatar,QAT,1981,Middle East & North Africa,High income,92.98722,Primary,Female
Senegal,SEN,2017,Sub-Saharan Africa,Lower middle income,80.75965,Primary,Female
Sierra Leone,SLE,2012,Sub-Saharan Africa,Low income,95.59841,Primary,Female
Tanzania,TZA,1990,Sub-Saharan Africa,Lower middle income,52.78702,Primary,Female
Zambia,ZMB,2010,Sub-Saharan Africa,Lower middle income,86.8924,Primary,Female
Belgium,BEL,2013,Europe & Central Asia,High income,98.16097,Primary,Female
Cote d'Ivoire,CIV,2015,Sub-Saharan Africa,Lower middle income,72.05407,Primary,Female
Cote d'Ivoire,CIV,2018,Sub-Saharan Africa,Lower middle income,89.7329,Primary,Female
Colombia,COL,1986,Latin America & Caribbean,Upper middle income,69.05872,Primary,Female
Cuba,CUB,2003,Latin America & Caribbean,Upper middle income,98.33851,Primary,Female
Djibouti,DJI,2004,Middle East & North Africa,Lower middle income,31.16085,Primary,Female
Denmark,DNK,2012,Europe & Central Asia,High income,98.75794,Primary,Female
Euro area,EMU,2016,,,98.39177,Primary,Female
United Kingdom,GBR,1971,Europe & Central Asia,High income,98.17312,Primary,Female
Guinea,GIN,2000,Sub-Saharan Africa,Low income,38.27413,Primary,Female
"Gambia, The",GMB,2005,Sub-Saharan Africa,Low income,65.58891,Primary,Female
Guyana,GUY,1977,Latin America & Caribbean,Upper middle income,92.16822,Primary,Female
High income,HIC,2018,,,96.35158,Primary,Female
Jamaica,JAM,2017,Latin America & Caribbean,Upper middle income,83.16786,Primary,Female
Latin America & Caribbean (excluding high income),LAC,2007,,,95.52295,Primary,Female
Mauritius,MUS,2005,Sub-Saharan Africa,Upper middle income,96.5796,Primary,Female
Romania,ROU,1999,Europe & Central Asia,Upper middle income,90.86231,Primary,Female
Senegal,SEN,1983,Sub-Saharan Africa,Lower middle income,32.19517,Primary,Female
Sub-Saharan Africa (excluding high income),SSA,2011,,,73.66187,Primary,Female
Timor-Leste,TLS,2009,East Asia & Pacific,Lower middle income,87.99383,Primary,Female
Turkey,TUR,2010,Europe & Central Asia,Upper middle income,95.54082,Primary,Female
Australia,AUS,1973,East Asia & Pacific,High income,95.61789,Primary,Female
Azerbaijan,AZE,2000,Europe & Central Asia,Upper middle income,88.01044,Primary,Female
Chile,CHL,2008,Latin America & Caribbean,High income,95.62984,Primary,Female
Caribbean small states,CSS,2000,,,92.58239,Primary,Female
Cyprus,CYP,1973,Europe & Central Asia,High income,78.04012,Primary,Female
Djibouti,DJI,2015,Middle East & North Africa,Lower middle income,63.10016,Primary,Female
Europe & Central Asia,ECS,2013,,,96.94814,Primary,Female
France,FRA,1977,Europe & Central Asia,High income,94.51584,Primary,Female
Equatorial Guinea,GNQ,2000,Sub-Saharan Africa,Upper middle income,58.72141,Primary,Female
IDA total,IDA,2013,,,75.13868,Primary,Female
Ireland,IRL,2001,Europe & Central Asia,High income,99.99197,Primary,Female
Iceland,ISL,2004,Europe & Central Asia,High income,95.4928,Primary,Female
Lesotho,LSO,1970,Sub-Saharan Africa,Lower middle income,71.68709,Primary,Female
Myanmar,MMR,2003,East Asia & Pacific,Lower middle income,90.16079,Primary,Female
Sweden,SWE,1990,Europe & Central Asia,High income,99.54328,Primary,Female
Syrian Arab Republic,SYR,1973,Middle East & North Africa,Low income,64.77191,Primary,Female
British Virgin Islands,VGB,2013,Latin America & Caribbean,High income,96.88769,Primary,Female
Samoa,WSM,1998,East Asia & Pacific,Lower middle income,99.53126,Primary,Female
"Bahamas, The",BHS,2007,Latin America & Caribbean,High income,87.33135,Primary,Female
Bhutan,BTN,2006,South Asia,Lower middle income,74.82616,Primary,Female
Colombia,COL,2013,Latin America & Caribbean,Upper middle income,92.99698,Primary,Female
Ecuador,ECU,1975,Latin America & Caribbean,Upper middle income,80.43633,Primary,Female
Georgia,GEO,2009,Europe & Central Asia,Upper middle income,97.35232,Primary,Female
Hungary,HUN,2011,Europe & Central Asia,High income,97.05532,Primary,Female
IDA total,IDA,2012,,,74.58259,Primary,Female
Indonesia,IDN,2003,East Asia & Pacific,Lower middle income,94.16388,Primary,Female
Iceland,ISL,1994,Europe & Central Asia,High income,97.32543,Primary,Female
Jamaica,JAM,2004,Latin America & Caribbean,Upper middle income,93.16803,Primary,Female
Kiribati,KIR,1985,East Asia & Pacific,Lower middle income,98.8621,Primary,Female
St. Kitts and Nevis,KNA,1986,Latin America & Caribbean,High income,86.89907,Primary,Female
Latin America & Caribbean (excluding high income),LAC,2009,,,96.96145,Primary,Female
Lao PDR,LAO,2001,East Asia & Pacific,Lower middle income,71.90024,Primary,Female
Low income,LIC,2014,,,78.70208,Primary,Female
Malta,MLT,1994,Middle East & North Africa,High income,94.3003,Primary,Female
Sudan,SDN,2016,Sub-Saharan Africa,Low income,62.01307,Primary,Female
"Venezuela, RB",VEN,2013,Latin America & Caribbean,,92.83463,Primary,Female
Caribbean small states,CSS,2008,,,91.74481,Primary,Female
France,FRA,1983,Europe & Central Asia,High income,95.84342,Primary,Female
High income,HIC,2009,,,96.16008,Primary,Female
